Resume,Category
"Developed ML models using TensorFlow and Scikit-learn.",Data Scientist
"Worked on data preprocessing and feature engineering using pandas.",Data Scientist
"Built classification models using logistic regression.",Data Scientist
"Used Python for data cleaning, visualization, and model evaluation.",Data Scientist
"Applied NLP techniques using spaCy and NLTK.",Data Scientist
"Trained deep learning models for image recognition.",Data Scientist
"Worked on random forest and XGBoost algorithms.",Data Scientist
"Experience with Jupyter Notebook and Kaggle datasets.",Data Scientist
"Developed full-stack web apps using MERN stack.",Full Stack Developer
"Built RESTful APIs with Express.js and Node.js.",Full Stack Developer
"Used MongoDB for backend database management.",Full Stack Developer
"Integrated React frontend with Flask backend.",Full Stack Developer
"Worked on authentication using JWT and Passport.js.",Full Stack Developer
"Deployed applications on AWS EC2 and Render.",Full Stack Developer
"Created dashboards in Power BI and Tableau.",Data Analyst
"Performed data cleaning and transformation using pandas.",Data Analyst
"Generated insights from large datasets using SQL queries.",Data Analyst
"Worked on data visualization using Matplotlib and Seaborn.",Data Analyst
"Used Excel and Google Sheets for business reporting.",Data Analyst
"Prepared KPI dashboards for management.",Data Analyst
"Developed user interfaces using HTML, CSS, and JavaScript.",Frontend Developer
"Built responsive web designs using Tailwind CSS and Bootstrap.",Frontend Developer
"Created React components and handled state with Redux.",Frontend Developer
"Optimized web performance using Lighthouse audits.",Frontend Developer
"Used Figma and Adobe XD for UI design collaboration.",Frontend Developer
"Developed REST APIs using Java Spring Boot.",Java Developer
"Worked with Hibernate and MySQL for ORM and database integration.",Java Developer
"Implemented MVC architecture for scalable backend systems.",Java Developer
"Used Maven for dependency management.",Java Developer
"Tested APIs using Postman and JUnit.",Java Developer
"Worked with Microservices architecture in Spring Cloud.",Java Developer
